# t m[0] m[1] m[2] m[3] m[4] m[5] m[6] m[7] m[8] m[9] m[10] m[11] m[12] m[13] m[14] m[15] m[16] m[17] m[18] m[19]
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000444e+00 0.000000000000000000e+00 1.500000000000000355e+01 0.000000000000000000e+00 1.050000000000000142e+02 0.000000000000000000e+00 9.450000000000000000e+02 0.000000000000000000e+00 1.039500000000000000e+04 0.000000000000000000e+00 1.351350000000000291e+05 0.000000000000000000e+00 2.027025000000000233e+06 0.000000000000000000e+00 3.445942500000000000e+07 0.000000000000000000e+00
9.999999999999999547e-07 1.000000000000000000e+00 0.000000000000000000e+00 1.000204258447565442e+00 0.000000000000000000e+00 3.002451691234945486e+00 0.000000000000000000e+00 1.502452576332423462e+01 0.000000000000000000e+00 1.052748125247581186e+02 0.000000000000000000e+00 9.485351646709041233e+02 0.000000000000000000e+00 1.044687980671590776e+04 0.000000000000000000e+00 1.359939346254460397e+05 0.000000000000000000e+00 2.042893457314219791e+06 0.000000000000000000e+00 3.478338662125574052e+07 0.000000000000000000e+00
1.999999999999999909e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.000408516895131106e+00 0.000000000000000000e+00 3.004904562358844178e+00 0.000000000000000000e+00 1.504908104195053831e+01 0.000000000000000000e+00 1.055502040222354196e+02 0.000000000000000000e+00 9.520815061969146882e+02 0.000000000000000000e+00 1.049898526607139684e+04 0.000000000000000000e+00 1.368577288820225513e+05 0.000000000000000000e+00 2.058874212443938944e+06 0.000000000000000000e+00 3.511013409410230070e+07 0.000000000000000000e+00
3.000000000000000076e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.000612775342696548e+00 0.000000000000000000e+00 3.007358613612648668e+00 0.000000000000000000e+00 1.507366585999161934e+01 0.000000000000000000e+00 1.058261754386737863e+02 0.000000000000000000e+00 9.556390538158927939e+02 0.000000000000000000e+00 1.055131722172637456e+04 0.000000000000000000e+00 1.377264070078947116e+05 0.000000000000000000e+00 2.074967978672042489e+06 0.000000000000000000e+00 3.543968921114644408e+07 0.000000000000000000e+00
3.999999999999999819e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.000817033790262212e+00 0.000000000000000000e+00 3.009813845237311991e+00 0.000000000000000000e+00 1.509828024157178206e+01 0.000000000000000000e+00 1.061027277214533626e+02 0.000000000000000000e+00 9.592078368272682383e+02 0.000000000000000000e+00 1.060387652000663184e+04 0.000000000000000000e+00 1.385999933465880749e+05 0.000000000000000000e+00 2.091175473314295523e+06 0.000000000000000000e+00 3.577207391910557449e+07 0.000000000000000000e+00
4.999999999999999562e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.001021292237827653e+00 0.000000000000000000e+00 3.012270257473788071e+00 0.000000000000000000e+00 1.512292421082693572e+01 0.000000000000000000e+00 1.063798618190935770e+02 0.000000000000000000e+00 9.627878845921409265e+02 0.000000000000000000e+00 1.065666400991081173e+04 0.000000000000000000e+00 1.394785123473823478e+05 0.000000000000000000e+00 2.107497417739444412e+06 0.000000000000000000e+00 3.610731031978593022e+07 0.000000000000000000e+00
6.000000000000000152e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.001225550685393095e+00 0.000000000000000000e+00 3.014727850563029499e+00 0.000000000000000000e+00 1.514759779190459632e+01 0.000000000000000000e+00 1.066575786812540088e+02 0.000000000000000000e+00 9.663792265333806881e+02 0.000000000000000000e+00 1.070968054311739616e+04 0.000000000000000000e+00 1.403619885657062405e+05 0.000000000000000000e+00 2.123934537389406003e+06 0.000000000000000000e+00 3.644542067106631398e+07 0.000000000000000000e+00
6.999999999999999895e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.001429809132958759e+00 0.000000000000000000e+00 3.017186624745988865e+00 0.000000000000000000e+00 1.517230100896388656e+01 0.000000000000000000e+00 1.069358792587352980e+02 0.000000000000000000e+00 9.699818921357285717e+02 0.000000000000000000e+00 1.076292697399170174e+04 0.000000000000000000e+00 1.412504466635336576e+05 0.000000000000000000e+00 2.140487561799546238e+06 0.000000000000000000e+00 3.678642738788733631e+07 0.000000000000000000e+00
7.999999999999999638e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.001634067580524201e+00 0.000000000000000000e+00 3.019646580263620095e+00 0.000000000000000000e+00 1.519703388617553941e+01 0.000000000000000000e+00 1.072147645034801826e+02 0.000000000000000000e+00 9.735959109458979128e+02 0.000000000000000000e+00 1.081640415959289749e+04 0.000000000000000000e+00 1.421439114097812271e+05 0.000000000000000000e+00 2.157157224619041197e+06 0.000000000000000000e+00 3.713035304324627668e+07 0.000000000000000000e+00
9.000000000000000228e-06 1.000000000000000000e+00 0.000000000000000000e+00 1.001838326028089865e+00 0.000000000000000000e+00 3.022107717356875778e+00 0.000000000000000000e+00 1.522179644772190521e+01 0.000000000000000000e+00 1.074942353685742802e+02 0.000000000000000000e+00 9.772213125726749468e+02 0.000000000000000000e+00 1.087011295968103332e+04 0.000000000000000000e+00 1.430424076807068195e+05 0.000000000000000000e+00 2.173944263631334063e+06 0.000000000000000000e+00 3.747722036919755489e+07 0.000000000000000000e+00
